,month,hour,18panels_PV_mean,1unit Wind_mean
0,1.0,0.0,0.0,0.33004334258064516
1,1.0,1.0,0.0,0.3258338389677419
2,1.0,2.0,0.0,0.31294402109677416
3,1.0,3.0,0.0,0.30890531574193547
4,1.0,4.0,0.0,0.34023954777419363
5,1.0,5.0,0.0,0.3447321662258065
6,1.0,6.0,0.0,0.3454449256774194
7,1.0,7.0,0.0,0.34339675909677425
8,1.0,8.0,0.2781005521935484,0.3398201079032258
9,1.0,9.0,1.305225229935484,0.3432707733870968
10,1.0,10.0,2.1973976413548386,0.4071206480967742
11,1.0,11.0,2.835000387870967,0.4151368207419355
12,1.0,12.0,2.989266067741935,0.345456568451613
13,1.0,13.0,2.7668436009677415,0.35799077670967744
14,1.0,14.0,2.2764017252903224,0.35360523535483873
15,1.0,15.0,1.6027292508387094,0.3200500810967742
16,1.0,16.0,0.6233301197419355,0.2966332476774194
17,1.0,17.0,0.014675554451612902,0.2933383843225807
18,1.0,18.0,0.0,0.29675942290322577
19,1.0,19.0,0.0,0.324738850516129
20,1.0,20.0,0.0,0.28975818345161286
21,1.0,21.0,0.0,0.2990486025483871
22,1.0,22.0,0.0,0.3169694064516128
23,1.0,23.0,0.0,0.3195886633225806
24,2.0,0.0,0.0,0.21945296496428573
25,2.0,1.0,0.0,0.2190147357142857
26,2.0,2.0,0.0,0.20158911075
27,2.0,3.0,0.0,0.1877621572142857
28,2.0,4.0,0.0,0.1711132014642857
29,2.0,5.0,0.0,0.17884414492857142
30,2.0,6.0,0.0,0.1896580352857143
31,2.0,7.0,0.08059671385714286,0.20830484999999999
32,2.0,8.0,0.9747146134285711,0.19117539839285716
33,2.0,9.0,2.1530506988571427,0.2118782686071429
34,2.0,10.0,3.0356291892857143,0.2744114973571428
35,2.0,11.0,3.7106682435000002,0.3053694743928571
36,2.0,12.0,3.3934246341428573,0.25349751425
37,2.0,13.0,3.5284792159285714,0.3061849358214285
38,2.0,14.0,3.336630152785715,0.36775229475
39,2.0,15.0,2.677522301999999,0.38279551935714284
40,2.0,16.0,1.678091389714286,0.33381504603571427
41,2.0,17.0,0.4906737662142856,0.30298098525
42,2.0,18.0,0.0008902652142857142,0.2995532997857143
43,2.0,19.0,0.0,0.2930139209285714
44,2.0,20.0,0.0,0.30099889689285714
45,2.0,21.0,0.0,0.28763662710714283
46,2.0,22.0,0.0,0.2593923873214286
47,2.0,23.0,0.0,0.25597396835714287
48,3.0,0.0,0.0,0.29739304838709674
49,3.0,1.0,0.0,0.2970814481290323
50,3.0,2.0,0.0,0.2948981084193548
51,3.0,3.0,0.0,0.292779362967742
52,3.0,4.0,0.0,0.2924625095806452
53,3.0,5.0,0.0,0.29088443193548386
54,3.0,6.0,0.07797412393548385,0.27739279409677425
55,3.0,7.0,0.9283453072258063,0.26988761738709677
56,3.0,8.0,2.2505900243225803,0.2929163389354839
57,3.0,9.0,3.3756979825161295,0.3096454661935483
58,3.0,10.0,3.677054651419355,0.3253635647741935
59,3.0,11.0,3.8149936745806454,0.3413180201290323
60,3.0,12.0,3.578391758322581,0.30600639974193544
61,3.0,13.0,3.538769899354839,0.31247113732258064
62,3.0,14.0,3.528471998322581,0.3382862176129033
63,3.0,15.0,3.493775884064517,0.3235396230645161
64,3.0,16.0,2.5324308760645162,0.3289401293548387
65,3.0,17.0,1.3117887272903228,0.3209179006129032
66,3.0,18.0,0.19780748129032255,0.33189724035483864
67,3.0,19.0,0.0,0.305073191483871
68,3.0,20.0,0.0,0.2829002082580645
69,3.0,21.0,0.0,0.29257035154838706
70,3.0,22.0,0.0,0.27118423567741934
71,3.0,23.0,0.0,0.2881129891290322
72,4.0,0.0,0.0,0.07839948840000001
73,4.0,1.0,0.0,0.08446913510000001
74,4.0,2.0,0.0,0.08579878916666667
75,4.0,3.0,0.0,0.09575912326666665
76,4.0,4.0,0.0,0.08790312313333333
77,4.0,5.0,0.0610336974,0.10052488023333334
78,4.0,6.0,0.6509749644,0.10506701066666667
79,4.0,7.0,2.0473461000000004,0.15667429393333332
80,4.0,8.0,3.0662129118,0.19628538813333338
81,4.0,9.0,3.5895194676000006,0.2203658644
82,4.0,10.0,3.863378631000001,0.23149267289999997
83,4.0,11.0,4.013613755400001,0.24632615216666665
84,4.0,12.0,3.8419548018000005,0.23995303650000005
85,4.0,13.0,3.782653146,0.25326827776666666
86,4.0,14.0,3.7755316949999997,0.24803063163333336
87,4.0,15.0,3.6225460266000007,0.2626385500333333
88,4.0,16.0,3.249580689,0.2825681324333333
89,4.0,17.0,2.0075271498,0.26524937076666666
90,4.0,18.0,0.6025025340000001,0.23000654023333336
91,4.0,19.0,0.0498920436,0.19930027733333333
92,4.0,20.0,0.0,0.13771628169999997
93,4.0,21.0,0.0,0.10955846970000001
94,4.0,22.0,0.0,0.09442451320000002
95,4.0,23.0,0.0,0.08714036696666667
96,5.0,0.0,0.0,0.08996354390322582
97,5.0,1.0,0.0,0.08765821564516131
98,5.0,2.0,0.0,0.12300804474193547
99,5.0,3.0,0.0,0.11027566025806451
100,5.0,4.0,0.005790552387096775,0.08550389745161292
101,5.0,5.0,0.8510044401290323,0.08152614409677421
102,5.0,6.0,1.0970075496774194,0.0951188343548387
103,5.0,7.0,2.69052957232258,0.11077988751612902
104,5.0,8.0,3.7390599441290324,0.1466640676129032
105,5.0,9.0,3.9135423205161297,0.1706277629032258
106,5.0,10.0,3.932120418387097,0.1758729776451613
107,5.0,11.0,4.00377222,0.17209994867741937
108,5.0,12.0,3.977164818,0.1515094371612903
109,5.0,13.0,4.005222460258064,0.16386817225806452
110,5.0,14.0,3.7885126767096775,0.18061155612903226
111,5.0,15.0,3.532780830193549,0.18194281780645158
112,5.0,16.0,3.086960772193548,0.13689339641935486
113,5.0,17.0,2.1618564294193545,0.1157078330967742
114,5.0,18.0,0.9220370730967742,0.107712654
115,5.0,19.0,0.4440448387741936,0.14082760709677422
116,5.0,20.0,0.0018043165161290321,0.14272126025806453
117,5.0,21.0,0.0,0.10705730109677421
118,5.0,22.0,0.0,0.09761187464516129
119,5.0,23.0,0.0,0.09777820325806452
120,6.0,0.0,0.0,0.08030505746666666
121,6.0,1.0,0.0,0.09941702240000001
122,6.0,2.0,0.0,0.11590189653333335
123,6.0,3.0,0.0,0.10510240913333332
124,6.0,4.0,0.04103374859999999,0.09239426203333334
125,6.0,5.0,1.3807398233999997,0.07607700203333333
126,6.0,6.0,1.2069470106000002,0.08976530053333334
127,6.0,7.0,2.7524468286,0.12909790183333333
128,6.0,8.0,3.9091406538000006,0.18664599946666663
129,6.0,9.0,4.0496506836,0.19556296773333334
130,6.0,10.0,4.1595923381999995,0.21191444943333337
131,6.0,11.0,4.136126577,0.2479116186666667
132,6.0,12.0,4.299092330400001,0.22367675159999997
133,6.0,13.0,4.241484765000001,0.22316815599999998
134,6.0,14.0,4.0285638882,0.21574219216666668
135,6.0,15.0,4.126743069,0.22660633156666668
136,6.0,16.0,3.7825564517999997,0.21671231686666664
137,6.0,17.0,2.5271810922,0.20813755233333336
138,6.0,18.0,1.1765841791999998,0.17178533083333336
139,6.0,19.0,0.8839923354000001,0.12179982993333333
140,6.0,20.0,0.06045701160000001,0.10033985933333332
141,6.0,21.0,0.0,0.07394027523333334
142,6.0,22.0,0.0,0.06877308636666668
143,6.0,23.0,0.0,0.0807166162
144,7.0,0.0,0.0,0.10870878867741937
145,7.0,1.0,0.0,0.11964134003225806
146,7.0,2.0,0.0,0.08415796658064516
147,7.0,3.0,0.0,0.09132506767741937
148,7.0,4.0,0.004987027741935483,0.07166963161290323
149,7.0,5.0,0.7509822747096775,0.07410685716129033
150,7.0,6.0,0.9970943893548389,0.10273291058064515
151,7.0,7.0,2.3401344907741937,0.13446788848387098
152,7.0,8.0,3.3598369672258066,0.18501345290322585
153,7.0,9.0,3.791789144129033,0.23156296483870967
154,7.0,10.0,4.032573066,0.2360252768387097
155,7.0,11.0,4.262847261096775,0.2434851254516129
156,7.0,12.0,4.0350836026451615,0.23510247564516132
157,7.0,13.0,4.028488691225807,0.24044611041935482
158,7.0,14.0,4.019904242709678,0.24043989170967744
159,7.0,15.0,3.5777879872258067,0.22530408012903227
160,7.0,16.0,3.450460015161291,0.21889833796774194
161,7.0,17.0,2.337576980516129,0.19902682416129025
162,7.0,18.0,1.047063074516129,0.19562697403225807
163,7.0,19.0,0.6914610841935485,0.1861043106451613
164,7.0,20.0,0.028700016387096773,0.15294982448387096
165,7.0,21.0,0.0,0.12062937948387098
166,7.0,22.0,0.0,0.13160299812903223
167,7.0,23.0,0.0,0.11721980706451611
168,8.0,0.0,0.0,0.09111025161290323
169,8.0,1.0,0.0,0.08989917541935484
170,8.0,2.0,0.0,0.08065699025806453
171,8.0,3.0,0.0,0.07162635977419356
172,8.0,4.0,0.0,0.061102686967741945
173,8.0,5.0,0.1146121292903226,0.07234697412903227
174,8.0,6.0,0.7283672901290322,0.05715741290322581
175,8.0,7.0,2.13446754,0.0607343325483871
176,8.0,8.0,3.411345001354839,0.07615897167741935
177,8.0,9.0,3.9656499665806453,0.08434656951612902
178,8.0,10.0,4.015701484258065,0.08280201522580645
179,8.0,11.0,4.179871658903226,0.09170603616129033
180,8.0,12.0,3.9824618434838714,0.14005083809677424
181,8.0,13.0,3.969433392387097,0.16965539512903224
182,8.0,14.0,3.9534675195483873,0.17001063035483874
183,8.0,15.0,3.9180198176129037,0.1722447475483871
184,8.0,16.0,3.4244331450967747,0.17925191077419356
185,8.0,17.0,2.130970176580645,0.13431265496774195
186,8.0,18.0,0.7557549700645161,0.11654898335483871
187,8.0,19.0,0.18913029154838712,0.10730136119354838
188,8.0,20.0,0.0,0.11151972241935484
189,8.0,21.0,0.0,0.08483454787096775
190,8.0,22.0,0.0,0.058105904741935485
191,8.0,23.0,0.0,0.09466585687096776
192,9.0,0.0,0.0,0.09980825313333333
193,9.0,1.0,0.0,0.10240312906666665
194,9.0,2.0,0.0,0.10383425186666664
195,9.0,3.0,0.0,0.09638972893333334
196,9.0,4.0,0.0,0.08879900790000002
197,9.0,5.0,0.0,0.09390743026666667
198,9.0,6.0,0.3134633262,0.1331152736
199,9.0,7.0,1.426376169,0.11373479403333332
200,9.0,8.0,2.5917547416000004,0.1520115718
201,9.0,9.0,3.560349435,0.19969601543333332
202,9.0,10.0,3.7279415022,0.23273266366666664
203,9.0,11.0,3.8619616560000005,0.24341702513333333
204,9.0,12.0,3.8671272011999998,0.24595701186666669
205,9.0,13.0,4.0131664626,0.2777378785333333
206,9.0,14.0,3.7033729416,0.26626178363333336
207,9.0,15.0,3.3686956265999997,0.25487076096666667
208,9.0,16.0,2.5268964006,0.22536823713333334
209,9.0,17.0,1.260787602,0.19559818826666664
210,9.0,18.0,0.21667999499999996,0.1752132856666667
211,9.0,19.0,0.0,0.17107221159999997
212,9.0,20.0,0.0,0.16017669233333334
213,9.0,21.0,0.0,0.14875873750000002
214,9.0,22.0,0.0,0.13224503466666668
215,9.0,23.0,0.0,0.10704051966666665
216,10.0,0.0,0.0,0.09791667854838709
217,10.0,1.0,0.0,0.11842587916129031
218,10.0,2.0,0.0,0.11918617687096775
219,10.0,3.0,0.0,0.12213435887096773
220,10.0,4.0,0.0,0.12655648274193548
221,10.0,5.0,0.0,0.12721432512903227
222,10.0,6.0,0.016230706258064515,0.1635803672258065
223,10.0,7.0,0.6789197235483868,0.17693226306451615
224,10.0,8.0,1.891042277806452,0.16576605996774188
225,10.0,9.0,2.8979520439354842,0.18713085558064516
226,10.0,10.0,3.5901365835483876,0.21763264832258064
227,10.0,11.0,3.8166948551612903,0.2641762503870968
228,10.0,12.0,3.804866517483872,0.22077263164516128
229,10.0,13.0,3.7750060527096774,0.2464398577096774
230,10.0,14.0,3.3276087307741937,0.25279129625806446
231,10.0,15.0,2.4940382870322577,0.24056000261290322
232,10.0,16.0,1.4222195610967747,0.21481845658064513
233,10.0,17.0,0.28607533316129036,0.19413846996774192
234,10.0,18.0,0.0,0.17074916248387095
235,10.0,19.0,0.0,0.13901525670967743
236,10.0,20.0,0.0,0.14076691387096774
237,10.0,21.0,0.0,0.13758366690322582
238,10.0,22.0,0.0,0.12508207538709676
239,10.0,23.0,0.0,0.1085995680967742
240,11.0,0.0,0.0,0.22614566529999997
241,11.0,1.0,0.0,0.21462718336666667
242,11.0,2.0,0.0,0.22782569693333335
243,11.0,3.0,0.0,0.23754448850000007
244,11.0,4.0,0.0,0.26092882386666666
245,11.0,5.0,0.0,0.27982629619999994
246,11.0,6.0,0.0,0.298944459
247,11.0,7.0,0.0661019682,0.35818274969999997
248,11.0,8.0,0.7717507446,0.3261597291333333
249,11.0,9.0,1.6211320583999997,0.33526136673333334
250,11.0,10.0,2.3200782672,0.3700666958666667
251,11.0,11.0,2.6697726323999995,0.41756220550000006
252,11.0,12.0,2.8486545444000004,0.39775726036666664
253,11.0,13.0,2.611759911,0.44325940606666675
254,11.0,14.0,2.0259065904,0.4196597594666666
255,11.0,15.0,1.2261612252000003,0.3810268055666667
256,11.0,16.0,0.32585184300000003,0.3351094032666666
257,11.0,17.0,0.0002730522,0.30642290516666665
258,11.0,18.0,0.0,0.2727380318666667
259,11.0,19.0,0.0,0.2220845412
260,11.0,20.0,0.0,0.2363616802
261,11.0,21.0,0.0,0.2500948719
262,11.0,22.0,0.0,0.23606355126666662
263,11.0,23.0,0.0,0.23650818073333335
264,12.0,0.0,0.0,0.49291688706451603
265,12.0,1.0,0.0,0.48669332919354835
266,12.0,2.0,0.0,0.4767036858387097
267,12.0,3.0,0.0,0.47885621893548386
268,12.0,4.0,0.0,0.4948130529354839
269,12.0,5.0,0.0,0.4738016947741935
270,12.0,6.0,0.0,0.475281169967742
271,12.0,7.0,0.0,0.4801578716774194
272,12.0,8.0,0.22944400432258064,0.47476598845161294
273,12.0,9.0,1.0703299772903228,0.4434001227741935
274,12.0,10.0,1.7664161986451619,0.5179181147741936
275,12.0,11.0,2.2189701518709675,0.5040364435483871
276,12.0,12.0,2.3922623136774193,0.4163712952580645
277,12.0,13.0,2.207118611032258,0.38985131041935484
278,12.0,14.0,1.6966932363870966,0.4584068812903226
279,12.0,15.0,0.970569072,0.4626785000645161
280,12.0,16.0,0.15825543038709677,0.45305652551612896
281,12.0,17.0,0.0,0.44860420316129035
282,12.0,18.0,0.0,0.45458359864516124
283,12.0,19.0,0.0,0.4820598400967741
284,12.0,20.0,0.0,0.4898070710967741
285,12.0,21.0,0.0,0.5073261807096773
286,12.0,22.0,0.0,0.4932851753225807
287,12.0,23.0,0.0,0.4908774251290322
