Year,Month,Day,Hour,Minute,Temperature  [2 m above gnd],Mean Sea Level Pressure  [MSL],Radiation  [W],Wind Speed  [10 m above gnd]
2019,6,17,0,0,19.5,1,0,1.5
2019,6,17,1,0,19.1,1,0,1
2019,6,17,2,0,18.4,1,0,0.9
2019,6,17,3,0,18.6,1,0,1.1
2019,6,17,4,0,18.5,1,0,0.8
2019,6,17,5,0,18,1,19.4446,1.4
2019,6,17,6,0,17.8,1,113.8898,2.2
2019,6,17,7,0,19,1,313.8914,0.8
2019,6,17,8,0,20.9,1,413.8922,1.1
2019,6,17,9,0,22,1,530.5598,1.5
2019,6,17,10,0,23.7,1,813.8954,1.4
2019,6,17,11,0,25.4,1,938.8964,3.1
2019,6,17,12,0,26.4,1,966.6744,4.4
2019,6,17,13,0,26.3,1,927.7852,4.4
2019,6,17,14,0,26.9,1,827.7844,4.9
2019,6,17,15,0,25.9,1,672.2276,4.5
2019,6,17,16,0,25.2,1,486.115,4.6
2019,6,17,17,0,24.9,1,280.5578,4.4
2019,6,17,18,0,23.7,1,80.5562,4.3
2019,6,17,19,0,22.9,1,5.5556,2.7
2019,6,17,20,0,22.4,1,0,2
2019,6,17,21,0,22.3,1,0,2.1
2019,6,17,22,0,22.1,1,0,1.7
2019,6,17,23,0,21.5,1,0,1
2019,6,18,0,0,21.4,1,0,1.5
2019,6,18,1,0,21.5,1,0,1
2019,6,18,2,0,21,1,0,1.1
2019,6,18,3,0,20.7,1,0,1.2
2019,6,18,4,0,20.2,1,0,1.2
2019,6,18,5,0,19.8,1,13.889,1.6
2019,6,18,6,0,20,1,50.0004,1.7
2019,6,18,7,0,20.4,1,69.445,1.8
2019,6,18,8,0,20.7,1,105.5564,1.6
2019,6,18,9,0,21.3,1,100.0008,1.3
2019,6,18,10,0,21.6,1,102.7786,1.7
2019,6,18,11,0,22.2,1,161.1124,2.1
2019,6,18,12,0,22.5,1,252.7798,1.4
2019,6,18,13,0,23.6,1,250.002,1.8
2019,6,18,14,0,23.8,1,400.0032,2.5
2019,6,18,15,0,24.7,1,263.891,1.3
2019,6,18,16,0,24.8,1,261.1132,1.9
2019,6,18,17,0,24.8,1,194.446,1.2
2019,6,18,18,0,24.6,1,63.8894,1.7
2019,6,18,19,0,23.8,1,5.5556,1.9
2019,6,18,20,0,22.8,1,0,2
2019,6,18,21,0,22.6,1,0,1.6
2019,6,18,22,0,22.1,1,0,1
2019,6,18,23,0,21.5,1,0,2.2
2019,6,19,0,0,21.2,1,0,1.7
2019,6,19,1,0,21,1,0,1.6
2019,6,19,2,0,20.8,1,0,2.4
2019,6,19,3,0,20.6,1,0,1.7
2019,6,19,4,0,20.2,1,0,1.3
2019,6,19,5,0,19.4,1,19.4446,0.8
2019,6,19,6,0,19.7,1,100.0008,0.6
2019,6,19,7,0,20.8,1,280.5578,1.3
2019,6,19,8,0,22,1,530.5598,0.6
2019,6,19,9,0,23.7,1,563.8934,2.8
2019,6,19,10,0,24.2,1,800.0064,2.6
2019,6,19,11,0,25.8,1,938.8964,4.1
2019,6,19,12,0,27.4,1,958.341,4.2
2019,6,19,13,0,27.1,1,919.4518,5
2019,6,19,14,0,26.5,1,705.5612,5
2019,6,19,15,0,25.6,1,569.449,6.3
2019,6,19,16,0,25.7,1,455.5592,4.9
2019,6,19,17,0,25.4,1,258.3354,3.1
2019,6,19,18,0,24.3,1,77.7784,3.6
2019,6,19,19,0,23.7,1,5.5556,3.8
2019,6,19,20,0,23.1,1,0,3.4
2019,6,19,21,0,22.9,1,0,2.4
2019,6,19,22,0,22.9,1,0,1.5
2019,6,19,23,0,22.6,1,0,1.8
2019,6,20,0,0,22.3,1,0,1
2019,6,20,1,0,22.1,1,0,1.5
2019,6,20,2,0,21.7,1,0,1.8
2019,6,20,3,0,21.3,1,0,0.9
2019,6,20,4,0,20.8,1,0,0.6
2019,6,20,5,0,21,1,19.4446,1.1
2019,6,20,6,0,21,1,77.7784,1.1
2019,6,20,7,0,21.5,1,280.5578,1
2019,6,20,8,0,22.6,1,511.1152,0.9
2019,6,20,9,0,24.8,1,700.0056,1.3
2019,6,20,10,0,27.8,1,830.5622,2.4
2019,6,20,11,0,28.5,1,927.7852,3.2
2019,6,20,12,0,28.2,1,938.8964,5
2019,6,20,13,0,28.1,1,916.674,4.1
2019,6,20,14,0,29.1,1,788.8952,4.7
2019,6,20,15,0,29.4,1,580.5602,3.7
2019,6,20,16,0,27.3,1,383.3364,4.9
2019,6,20,17,0,26.9,1,169.4458,3.1
2019,6,20,18,0,25.8,1,41.667,3.1
2019,6,20,19,0,25.2,1,5.5556,2.4
2019,6,20,20,0,24.6,1,0,1.6
2019,6,20,21,0,24.7,1,0,1.6
2019,6,20,22,0,24.4,1,0,0.5
2019,6,20,23,0,24.3,1,0,1.3
2019,6,21,0,0,23.6,1,0,0.5
2019,6,21,1,0,23.9,1,0,1.5
2019,6,21,2,0,23.6,1,0,0.8
2019,6,21,3,0,23.6,1,0,0.4
2019,6,21,4,0,23.7,1,0,1.2
2019,6,21,5,0,23.4,1,22.2224,1.1
2019,6,21,6,0,23.3,1,80.5562,0.7
2019,6,21,7,0,23.4,1,133.3344,1.6
2019,6,21,8,0,23.5,1,177.7792,1.7
2019,6,21,9,0,24.7,1,319.447,0.8
2019,6,21,10,0,25.6,1,672.2276,2.4
2019,6,21,11,0,28.1,1,897.2294,1.5
2019,6,21,12,0,29.3,1,969.4522,1.2
2019,6,21,13,0,30.2,1,819.451,4
2019,6,21,14,0,29.2,1,805.562,4.6
2019,6,21,15,0,29,1,633.3384,5.9
2019,6,21,16,0,28.3,1,458.337,5.3
2019,6,21,17,0,27.4,1,275.0022,4.9
2019,6,21,18,0,27.3,1,77.7784,2.7
2019,6,21,19,0,26.5,1,5.5556,2.1
2019,6,21,20,0,26.1,1,0,2.2
2019,6,21,21,0,25.9,1,0,1.8
2019,6,21,22,0,24.9,1,0,2.5
2019,6,21,23,0,25.1,1,0,2
2019,6,22,0,0,24.1,1,0,2.3
2019,6,22,1,0,23.9,1,0,2.7
2019,6,22,2,0,23.6,1,0,2.9
2019,6,22,3,0,23.4,1,0,3.9
2019,6,22,4,0,23,1,0,4
2019,6,22,5,0,22.7,1,16.6668,5
2019,6,22,6,0,23,1,72.2228,3.6
2019,6,22,7,0,23.1,1,144.4456,4.3
2019,6,22,8,0,23.6,1,113.8898,4.3
2019,6,22,9,0,23.6,1,380.5586,4
2019,6,22,10,0,24.4,1,561.1156,6.5
2019,6,22,11,0,25.4,1,605.5604,7.2
2019,6,22,12,0,25.9,1,902.785,6.9
2019,6,22,13,0,26.1,1,794.4508,6.4
2019,6,22,14,0,25.8,1,708.339,7.8
2019,6,22,15,0,26.3,1,505.5596,7.6
2019,6,22,16,0,25.1,1,341.6694,7.1
2019,6,22,17,0,23.9,1,183.3348,8.2
2019,6,22,18,0,22.9,1,80.5562,6.2
2019,6,22,19,0,22.4,1,11.1112,6.5
2019,6,22,20,0,21.8,1,0,5.1
2019,6,22,21,0,21.6,1,0,3.9
2019,6,22,22,0,21.1,1,0,2.9
2019,6,22,23,0,20.3,1,0,2.6
2019,6,23,0,0,20.4,1,0,1.1
2019,6,23,1,0,20.6,1,0,2.4
2019,6,23,2,0,20.2,1,0,2.6
2019,6,23,3,0,19.8,1,0,3
2019,6,23,4,0,19.6,1,0,2.4
2019,6,23,5,0,19.6,1,30.5558,2.5
2019,6,23,6,0,20,1,166.668,3
2019,6,23,7,0,20.6,1,261.1132,2.5
2019,6,23,8,0,21.5,1,333.336,4.8
2019,6,23,9,0,22.7,1,577.7824,5.2
2019,6,23,10,0,23.9,1,930.563,6.8
2019,6,23,11,0,24.7,1,986.119,7.8
2019,6,23,12,0,25.1,1,1052.7862,6.1
2019,6,23,13,0,25.2,1,991.6746,7.7
2019,6,23,14,0,25.1,1,880.5626,6.5
2019,6,23,15,0,24.9,1,722.228,7.1
2019,6,23,16,0,23.9,1,533.3376,7.5
2019,6,23,17,0,23.6,1,319.447,6.3
2019,6,23,18,0,22.7,1,63.8894,6.9
2019,6,23,19,0,21.9,1,5.5556,5.8
2019,6,23,20,0,21.3,1,0,4.4
2019,6,23,21,0,20.8,1,0,5.5
2019,6,23,22,0,20.6,1,0,3.2
2019,6,23,23,0,20.4,1,0,1.8
